concedente,tipo_vaga,vaga,tipo_cota,no_salario_inicio,no_salario_limite,carga_horaria,dt_vigencia_inicio,dt_vigencia_limite,cidade,no_qtd_vagas,qt_candidatos,qt_contratados,status_salario,salario_usd,ano_vigencia,mes_vigencia
AGENCIA 2013,ESTÁGIO REMUNERADO,SOCIAL MEDIA/COPYWRITER,AMPLA CONCORRÊNCIA,900.0,1000.0,4,2024-02-01,01/02/2025,UBERLÂNDIA,2,5,0,Baixo,180.0,2024.0,2.0
AGROMOURA,ESTÁGIO NÃO REMUNERADO,ESTÁGIO ,AMPLA CONCORRÊNCIA,,,20,2022-08-25,31/12/2023,PRATA,1,1,0,Baixo,,2022.0,8.0
ALGAR TECH,ESTÁGIO REMUNERADO,SERVICE-DESK,AMPLA CONCORRÊNCIA,880.0,880.0,20,2022-05-02,02/05/2023,UBERLÂNDIA,10,40,0,Baixo,176.0,2022.0,5.0
AMD,ESTÁGIO REMUNERADO,ESTAGIO PROJETISTA EM ELETRÔNICA EMBARCADA,AMPLA CONCORRÊNCIA,600.0,600.0,30,2021-12-13,31/05/2022,UBERABA,4,4,0,Baixo,120.0,2021.0,12.0
AME,ESTÁGIO NÃO REMUNERADO,ESTAGIÁRIO ,AMPLA CONCORRÊNCIA,,,5,2023-02-01,18/12/2024,UBERABA,5,17,0,Baixo,,2023.0,2.0
AMEDUCAÇÃO,ESTÁGIO REMUNERADO,MONITOR TÉCNICO-PEDAGÓGICO,AMPLA CONCORRÊNCIA,600.0,1300.0,30,2024-03-01,20/12/2024,UBERLÂNDIA,1,1,0,Baixo,120.0,2024.0,3.0
AMEDUCAÇÃO,ESTÁGIO REMUNERADO,MONITOR TECNICO-PEDAGÓGICO,AMPLA CONCORRÊNCIA,600.0,900.0,15,2024-03-01,20/12/2024,UBERLÂNDIA,1,2,0,Baixo,120.0,2024.0,3.0
APPER SOFTWARE,ESTÁGIO NÃO REMUNERADO,OPORTUNIDADE DE ESTÁGIO,AMPLA CONCORRÊNCIA,,,18,2023-07-01,31/12/2023,ITUIUTABA,2,2,0,Baixo,,2023.0,7.0
CAMILA BARBOSA CONSULTORIA AGRONÔMICA,ESTÁGIO NÃO REMUNERADO,SUSTENTABILIDADE COM PROJETO DE MIP MONITORAMENTO DE PRAGAS E DOENÇAS.,AMPLA CONCORRÊNCIA,,,30,2022-06-01,01/11/2022,PATROCÍNIO,1,1,0,Baixo,,2022.0,6.0
CARROLL,ESTÁGIO REMUNERADO,ESTAGIO ,AMPLA CONCORRÊNCIA,1500.0,1749.0,40,2022-08-01,01/11/2022,SÃO DOMINGOS,5,3,0,Alto,300.0,2022.0,8.0
CCM INDUSTRIA E COMERCIO,ESTÁGIO REMUNERADO,ESTÁGIO CCM | SAC,AMPLA CONCORRÊNCIA,960.0,960.0,30,2022-09-27,26/09/2023,UBERABA,1,25,0,Baixo,192.0,2022.0,9.0
CECOTEIN,EMPREGO,VAGA PARA PROGRAMADOR JUNIOR,AMPLA CONCORRÊNCIA,2000.0,2000.0,43,2022-03-22,23/05/2022,UBERABA,1,1,0,Alto,400.0,2022.0,3.0
CECOTEIN,ESTÁGIO REMUNERADO,VAGA DE ESTÁGIO REMUNERADO DE PROGRAMAÇÃO,AMPLA CONCORRÊNCIA,700.0,700.0,30,2022-03-22,22/04/2022,UBERABA,1,4,0,Baixo,140.0,2022.0,3.0
CÉLIA CONCEIÇÃO MARQUES SILVA,ESTÁGIO NÃO REMUNERADO,ESTÁGIO LOJA DE MATERIAL HIDRÁULICO E ELÉTRICO,AMPLA CONCORRÊNCIA,,,15,2021-06-14,12/11/2021,PATOS DE MINAS,1,1,0,Baixo,,2021.0,6.0
